crsp_fundno,caldt,dnav,dret
016417,09/28/2010,108.5406000,0.001767
016417,09/29/2010,108.3678000,-0.001592
016417,09/30/2010,108.4026000,0.000321
016417,10/01/2010,108.1251000,-0.000120
016417,10/04/2010,108.3076000,0.001688
016417,10/05/2010,108.3430000,0.000327
016417,10/06/2010,108.6783000,0.003095
016417,10/07/2010,108.7423000,0.000589
016417,10/08/2010,108.8089000,0.000612
016417,10/11/2010,108.8353000,0.000243
016417,10/12/2010,108.7314000,-0.000955
016417,10/13/2010,108.7737000,0.000389
016417,10/14/2010,108.4954000,-0.002559
016417,10/15/2010,108.1802000,-0.002905
016417,10/18/2010,108.5203000,0.003144
016417,10/19/2010,108.6600000,0.001287
016417,10/20/2010,108.7300000,0.000644
016417,10/21/2010,108.5500000,-0.001655
016417,10/22/2010,108.5000000,-0.000461
016417,10/25/2010,108.5615000,0.000567
016417,10/26/2010,108.2729000,-0.002658
016417,10/27/2010,108.0515000,-0.002045
016417,10/28/2010,108.2548000,0.001882
016417,10/29/2010,108.4743000,0.002028
016417,11/01/2010,108.2120000,0.000122
016417,11/02/2010,108.4304000,0.002018
016417,11/03/2010,108.3393000,-0.000840
016417,11/04/2010,108.7843000,0.004107
016417,11/05/2010,108.5235000,-0.002397
016417,11/08/2010,108.4452000,-0.000722
016417,11/09/2010,108.0103000,-0.004010
016417,11/10/2010,108.0760000,0.000608
016417,11/11/2010,108.0859000,0.000092
016417,11/12/2010,107.6434000,-0.004094
016417,11/15/2010,107.1164000,-0.004896
016417,11/16/2010,107.3493000,0.002174
016417,11/17/2010,107.3722000,0.000213
016417,11/18/2010,107.3041000,-0.000634
016417,11/19/2010,107.3941000,0.000839
016417,11/22/2010,107.6861000,0.002719
016417,11/23/2010,107.8533000,0.001553
016417,11/24/2010,107.2243000,-0.005832
016417,11/26/2010,107.4133000,0.001763
016417,11/29/2010,107.5707000,0.001465
016417,11/30/2010,107.5980000,0.000254
016417,12/01/2010,106.3427000,-0.006528
016417,12/02/2010,106.2267000,-0.001091
016417,12/03/2010,106.3094000,0.000779
016417,12/06/2010,106.7175000,0.003839
016417,12/07/2010,105.8286000,-0.008329
016417,12/08/2010,105.5479000,-0.002652
016417,12/09/2010,105.6251000,0.000731
016417,12/10/2010,105.4122000,-0.002016
016417,12/13/2010,105.5765000,0.001559
016417,12/14/2010,104.8922000,-0.006482
016417,12/15/2010,104.6318000,-0.002483
016417,12/16/2010,104.7628000,0.001252
016417,12/17/2010,105.4881000,0.006923
016417,12/20/2010,105.4195000,-0.000650
016417,12/21/2010,105.5500000,0.001238
016417,12/22/2010,105.4802000,-0.000661
016417,12/23/2010,105.2700000,-0.001993
016417,12/27/2010,105.4554000,0.001761
016417,12/28/2010,104.5700000,-0.005135
016417,12/29/2010,105.2900000,0.006885
016417,12/30/2010,105.1900000,-0.000950
016417,12/31/2010,105.5500000,0.003422
016417,01/03/2011,105.4600000,-0.000853
016417,01/04/2011,105.4700000,0.000095
016417,01/05/2011,104.8821000,-0.005574
016417,01/06/2011,105.1452000,0.002509
016417,01/07/2011,105.5627000,0.003971
016417,01/10/2011,105.6532000,0.000857
016417,01/11/2011,105.5400000,-0.001071
016417,01/12/2011,105.5182000,-0.000207
016417,01/13/2011,105.7804000,0.002485
016417,01/14/2011,105.6684000,-0.001059
016417,01/18/2011,105.5600000,-0.001026
016417,01/19/2011,105.7081000,0.001403
016417,01/20/2011,105.2069000,-0.004741
016417,01/21/2011,105.4030000,0.001864
016417,01/24/2011,105.4700000,0.000636
016417,01/25/2011,105.8200000,0.003318
016417,01/26/2011,105.3900000,-0.004064
016417,01/27/2011,105.6235000,0.002216
016417,01/28/2011,105.8126000,0.001790
016417,01/31/2011,105.6296000,-0.001729
016417,02/01/2011,105.0808000,-0.002203
016417,02/02/2011,104.8628000,-0.002075
016417,02/03/2011,104.6467000,-0.002061
016417,02/04/2011,104.2430000,-0.003858
016417,02/07/2011,104.3282000,0.000817
016417,02/08/2011,103.9704000,-0.003430
016417,02/09/2011,104.2796000,0.002974
016417,02/10/2011,103.9658000,-0.003009
016417,02/11/2011,104.2504000,0.002737
016417,02/14/2011,104.4476000,0.001892
016417,02/15/2011,104.5200000,0.000693
016417,02/16/2011,104.4817000,-0.000366
016417,02/17/2011,104.7415000,0.002487
016417,02/18/2011,104.6806000,-0.000581
016417,02/22/2011,105.1800000,0.004771
016417,02/23/2011,105.1134000,-0.000633
016417,02/24/2011,105.3031000,0.001805
016417,02/25/2011,105.4015000,0.000934
016417,02/28/2011,105.5558000,0.001464
016417,03/01/2011,105.3210000,0.000475
016417,03/02/2011,105.0802000,-0.002286
016417,03/03/2011,104.6100000,-0.004475
016417,03/04/2011,105.0449000,0.004157
016417,03/07/2011,105.0582000,0.000127
016417,03/08/2011,104.8590000,-0.001896
016417,03/09/2011,105.1900000,0.003157
016417,03/10/2011,105.5082000,0.003025
016417,03/11/2011,105.4834000,-0.000235
016417,03/14/2011,105.7216000,0.002258
016417,03/15/2011,105.7361000,0.000137
016417,03/16/2011,106.1283000,0.003709
016417,03/17/2011,105.9315000,-0.001854
016417,03/18/2011,105.8800000,-0.000486
016417,03/21/2011,105.6900000,-0.001794
016417,03/22/2011,105.6045000,-0.000809
016417,03/23/2011,105.5815000,-0.000218
016417,03/24/2011,105.4358000,-0.001380
016417,03/25/2011,105.2533000,-0.001731
016417,03/28/2011,105.2530000,-0.000003
016417,03/29/2011,105.0739000,-0.001702
016417,03/30/2011,105.2686000,0.001853
